fen,eval
4k3/4N3/6p1/3p1p2/8/2P1K1P1/P5Rr/2R5 w - - 1 29,+1421
8/4k3/1P6/1P4K1/2PP4/N3P3/8/8 b - - 0 46,+1993
5bn1/Np1np1p1/5Bkr/3p3p/8/1P1PP3/5NPP/1R2KBR1 b - - 0 19,+835
r3kr2/8/p1n1b2p/1p6/7P/P3P3/P1PR1PP1/2K2B1R b q - 1 24,-179
rnb1k1q1/2pp4/B7/2P2p1p/P4P2/2N5/R7/3K2N1 b - - 0 25,-1343
2r4k/8/1P3p1b/4p1pp/p1bnP3/p7/5K2/8 w - - 9 49,-6255
1n2k3/r7/2p2nN1/7p/2B1p3/P3P3/1P4P1/R1B1K3 b Q - 7 28,+797
1nb5/1p1p3p/2p2Bpk/8/4r2P/3P1K2/4B1PR/6N1 w - - 0 32,+975
1n1k4/r1p3r1/p7/3p1p2/pP1P4/2P5/3K1Pq1/4N3 w - - 4 35,-2145
5k2/8/8/5p2/3P4/1P1KbB2/4P3/8 b - - 15 41,+290
7q/pp6/1k3p1n/3pb2p/1P1PQ3/P1P2PrB/5P1P/RN2K3 w - - 3 23,+909
R7/8/8/4P2P/1p3p2/4B2k/4K3/8 w - - 0 39,+1719
1nbqkbnr/1ppppp1p/6p1/r7/6P1/3P4/P1P1PP1P/RNBQKBNR b KQk - 0 4,-232
rnb1k2r/1p3p1p/4p1p1/p7/2p3K1/8/PP5P/RNQ3NR w kq - 0 16,+876
1n1nkbr1/3p1ppp/8/2p1N3/6P1/2NPP3/5P1P/2B1KBR1 b - - 0 18,+778
r7/2np2b1/3k1p1p/5P2/3p2P1/2p2bKP/8/6NR w - - 1 30,-1048
5k2/8/8/5K2/2P2P2/1P6/B7/Q1B5 b - - 0 40,+7659
8/8/1kb1P3/7p/3P1K1P/8/8/2N5 w - - 3 46,+818
4kb1r/7p/6bn/2p1p3/8/2N1BPP1/5r1P/1B1K2NR w k - 3 24,+565
2b2b1r/3p4/4p1k1/2pP2p1/2N5/8/R1P2PP1/2B2K2 w - - 2 28,+121
2k1r3/7p/1B3P1P/rp2pb2/1P2P3/7B/5K2/6N1 b - - 6 26,-651
rnbqkbnr/p2pp1pp/1pp2p2/8/P5P1/7B/1PPPPP1P/RNBQ1KNR b kq - 0 4,-127
6n1/4k3/6p1/8/2r3bp/8/8/6K1 b - - 3 45,#-4
8/3k4/5B2/1N5B/1P4R1/1P1n4/8/1K1Q4 b - - 3 38,#+5
1R6/6pr/p1p1kp2/3p4/2P5/b5P1/3BPP2/3N1K2 w - - 0 22,+728
8/3Q4/7p/3P3p/8/Pp3Pk1/8/1R4K1 b - - 3 44,+1832
r1bqkbnr/pppppppp/8/8/3Q4/8/PPP1PPPP/RNB1KBNR b KQkq - 0 3,+504
r7/4k2p/4pp2/bpR5/2PK2P1/5P2/1P5P/2BQ1B1R b - - 0 22,+1407
5k1r/1np4p/p2pP3/3B4/7P/P2N1P1b/6K1/RN6 w - - 3 26,+845
8/2p5/3pp3/k5p1/P2P2P1/4PK2/8/r7 b - - 0 36,-1116
1n2kbnr/rp2p1pp/p4p2/2pp4/P7/NP5q/2PPPP2/1RBQKBNR w Kk - 0 9,+1640
4kb2/4np2/7p/p3pp2/1p4r1/1P1K2R1/P1r1Nq2/RQ6 b - - 1 29,#-1
rnbqkbnr/ppp1ppp1/3p3p/8/8/P4P2/1PPPP1PP/RNBQKBNR w KQkq - 0 3,+32
r4k1r/4q2p/pp2nnb1/R1p4P/4p3/8/8/7K b - - 2 36,-8211
B5R1/3r1k2/8/1p6/1P6/1n2P3/2PN4/4KN2 w - - 5 36,+1087
2r1qb1r/p1p1kp2/2p2p2/1B2p2p/4n1PK/P1P5/1P1P4/RNB3N1 b - - 1 19,-2546
rq2kbn1/pB1pp1p1/2p3P1/Pp3p2/8/7r/1PPPPP1P/RNBQK2R w KQq - 1 11,+740
rn1q1bnr/ppp1pk1p/8/6p1/P3P1b1/6PP/3P1PB1/RNb1K1NR w KQ - 1 9,-1571
rn3br1/2q2kpp/1p3p2/p1ppp3/4P3/4KPNR/PPPP2P1/RNBQ4 w - - 0 13,+597
r1b2bnr/pp1p3p/n1p1k1N1/8/4P2q/N1P5/PP1P1PPP/R1BQK2R b KQ - 0 10,-765
8/8/6pp/8/2PK1B2/5N1k/R7/4r3 w - - 0 40,+1343
r1bqkbnr/pp1ppp2/2n3p1/2B4p/P6P/1P6/2PPPPP1/RN1QKBNR b KQkq - 0 5,-23
8/1k5P/8/BB6/8/6P1/8/4K3 b - - 6 44,#+4
r3k2r/n1p2p2/5n2/p5pp/P2p4/3P3N/RBPKP1qP/3Q3B w kq - 0 20,+1123
rnb3k1/p2p2B1/6p1/4p3/P1n1P3/1q1P2Pr/8/3RKB2 b - - 0 21,-3255
5knB/4n2p/8/8/P1P5/1p3K2/3PNP2/R7 b - - 1 37,+1007
