fen,eval
rnb1kbnr/pp5p/7p/2p5/4P2P/PP6/1P3P2/RN1QKBNR b KQkq - 0 11,+1029
8/8/2P3p1/3k2p1/6p1/2K1P3/2N5/B7 b - - 4 50,+626
rnbqkbnr/ppp1pppp/8/3p4/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 0 2,-40
rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1,-71
rnbr4/5k2/p2P2q1/3p2p1/6p1/2p2PK1/8/8 b - - 0 38,-8873
4k2B/3n4/1p3p2/1B6/7P/1PP1P3/5P2/4KR2 b - - 5 37,+1876
4k1nr/1p1b2pp/8/4p3/4p3/rp2PN1P/3B2P1/1K5R b - - 1 20,-1108
1n1q4/1p6/8/4p3/8/b1K3k1/4P2R/1rB5 w - - 0 31,-2570
r2k1bnr/p2Np1pp/5p2/2q5/P1P2PP1/4P3/nP5P/RNB1KB1b b Q - 0 12,-1592
rn2k3/1R2p3/p5Pn/2p4P/5R2/8/N1PK1P2/3Q1BNb b q - 0 20,+1535
4rbn1/1p2p1kr/7p/P2p4/1p1P1P2/8/3P3q/2Bb2K1 w - - 2 34,-2722
1r6/3k4/P3n3/1p6/5p1P/8/8/3B1K1R w - - 3 39,+386
r1bqkb1r/1ppppppp/p1n4n/6P1/8/5P2/PPPPP2P/RNBQKBNR w KQkq - 1 4,+190
8/6k1/8/p2P3p/7P/7b/3K3N/1N6 b - - 12 45,+369
rnbqkbnr/p1p1p1pp/5p2/3p4/1p5P/2P4R/PP1PPPP1/RNBQKBN1 w Qkq - 0 6,0
rnb2bnk/1p2p2r/7p/8/p1PK1B2/NP6/P7/R7 b - - 0 29,-1871
rnb2qnr/pppkpp2/7p/8/PPB1p3/6P1/R1PP1P1P/1N1QK1NR b K - 1 9,+27
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,+15
rn2kbnr/pp2pppp/8/3p4/2P3q1/4K2N/PP1P1PPP/RNBQ1B1R b kq - 2 7,#-1
r1bqkbnr/p1p1pppp/1pn5/3p4/1P6/3P4/P1P1PPPP/RNBQKBNR w KQkq - 0 4,0
rnq1kb1N/P1p1p3/3p2r1/7p/b2P4/5PP1/1P2PKP1/R5NR w q - 0 18,-667
n5n1/1ppb4/8/2b1k1p1/5p2/7r/8/4K3 b - - 9 37,#-7
rnb1kb1r/3pqp1p/B4n2/6p1/3p4/2N1P3/PPP2PPP/R1B1K1NR b KQkq - 0 8,-1622
b4k2/2p4n/4p3/p6K/8/8/6q1/8 w - - 10 49,#-2
8/8/2K3k1/1n2P3/1Q6/2P5/P7/RrN5 w - - 4 43,+7808
6kr/7p/5p1b/1n6/2Pp4/1R6/8/4K3 w - - 0 40,-741
rn5r/2q2k2/p4n1b/2pP2p1/2P5/P2P1P2/R3B1P1/QN2K3 b - - 0 24,-1070
3k4/8/8/5p1p/1p3P2/3b4/8/2K5 b - - 6 49,-1353
5b2/r3k3/5p2/pBp3p1/p7/4K2P/P6B/R5NR w - - 1 33,+1087
rn1qkbnr/ppp1pppp/3p4/1N6/6b1/8/PPPPPPPP/1RBQKBNR b Kkq - 3 3,-79
rn1qkbnr/1pp1pp1p/p7/3p2N1/P7/5P1b/1PPPP1PP/RNBQKB1R w KQkq - 1 5,+750
rnbk4/pppp4/3bp3/5P2/P1P3p1/5N2/1BRPBP1r/1N2K2R w K - 0 18,+1197
7R/p1pk4/1p3p2/4P3/P1P5/N5P1/1P2P1K1/n5N1 w - - 0 23,+1641
7k/2p4r/1r6/5K2/1p6/8/8/8 b - - 0 45,-2527
rn2k3/p2bpp1p/1q6/1p1P4/8/1P6/PK2P1N1/R3NB2 w q - 1 22,-1100
r1b2kn1/p4p2/1pp4p/4B3/P7/P3PKPP/N3P1R1/5B2 w - - 1 23,+745
r4r2/7p/4kN2/p7/1p4p1/8/8/K7 b - - 0 42,-7000
r1q1k2r/3ppp2/n1p5/pp3p2/3P4/3K4/PPP1PPPP/R1b2B1R w kq - 0 13,-1194
rnbqk1nr/pppp3R/4p3/5pP1/1b3P2/8/P1PPP1P1/RNBQKBN1 w Qkq f6 0 6,+1174
rnbqkb1r/pppp2pp/4pp1n/8/1PP3P1/2N5/P2PPP1P/R1BQKBNR b KQkq - 1 4,-204
rnbqkbnr/pp1pp2p/2p2p2/8/2P2p2/BP1P1N1P/P3P1P1/RN1QKB1R b KQkq - 0 7,-198
1r4kr/p2nn3/5ppp/3P4/5q2/1NKP4/PP2P3/1RB2B2 w - - 4 27,-786
r1bqkb1r/pppppp1p/2n3pn/6N1/5P2/8/PPPPP1PP/RNBQKB1R w KQkq - 2 4,-44
4k2r/3R4/3p1p1p/4N3/8/4K3/R1P4P/1N6 b k - 0 24,+1599
8/pp2kb1n/1R5r/2P3pP/P7/5P2/3K3N/1r6 b - - 11 36,-1492
2b3k1/p1p5/n7/n1q5/8/8/8/5K2 b - - 3 44,#-5
r1b3nr/2ppqpk1/8/pNnPp3/P1P2P1P/8/4P1PR/R3KBN1 b Q - 0 18,-1272
4kb1r/p2p1ppp/Bp2p3/8/8/N3P3/PP5P/1RB2K1R w k - 0 16,+1265
r3kr2/p1p1np2/1pn5/4pB2/P1p1N1pp/4PPP1/1P1K3P/R1B4R w q - 0 19,+621
r1bqkb2/3pppp1/5n2/2Q5/p3P2P/B1P5/P1P2P2/RN3KR1 w - - 1 19,+166
2rqkbnr/p1p1pp2/n6p/3N2p1/pP2bPP1/1R6/1R1PP2P/2BQKB2 b k - 3 15,-1108
rnbqkbnr/p1pppppp/8/1p6/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2,+46
1r4k1/3r1p2/4P3/7p/2B5/5K1P/6N1/3N3R b - - 0 35,+687
r5k1/8/1P5b/3p4/P2p2B1/4P1P1/5P2/R1B1K1N1 b - - 0 26,+1306
8/5p1p/2p1k3/N2p3B/3P2P1/8/6P1/R4KR1 b - - 0 32,+1725
rnbqkb1r/pppppppp/8/8/8/3PP3/PPP2K1P/RNBQ1BNR b kq - 0 4,+141
2N5/8/2k5/4P1P1/p7/8/7K/5B1R b - - 0 41,+1941
8/6kp/5p2/2P1n3/P2n4/8/b2K3P/8 w - - 2 39,-916
rnb1kbnr/pppp1pp1/8/4p2p/3P3q/PP5P/2P1PPP1/RNBQKBNR b KQkq - 0 4,-25
2R5/7p/4k3/p3p3/4P3/8/1N1K1N2/8 w - - 1 39,+1174
1n2kb1r/r1p1pn1p/p3p3/5NQ1/3q4/8/RPP2PPP/1NB2RK1 w k - 0 15,+886
8/8/4k3/5N2/K3B3/N1P5/PP2P3/4R3 b - - 0 45,+6494
r1kn1b1r/p5pp/1p4p1/2p1p3/2P4P/P6R/1P2N1PK/R1B2B2 w - - 1 20,+718
4k3/N7/R5p1/2pP4/5P2/2K5/8/8 w - c6 0 46,+2076
3R3b/4k3/8/5P1p/2P4p/8/6K1/1Q6 b - - 2 47,+1390
3r1b2/1Bk2p1p/8/5PR1/p1P5/1Pp5/1BR1KP2/8 b - - 3 27,+425
rnbqk1nr/ppppbppp/8/1N2p3/6P1/8/PPPPPP1P/R1BQKBNR w KQkq - 4 4,-79
rnb1k1nr/p3p3/2pp2p1/3N3p/1P4pP/8/P2PPP2/b1BQKBNR w Kkq - 0 13,+980
rn1qkbnr/1pp1p1pp/p3b3/3p4/1P1P1Pp1/5N1P/P1PNP3/1RBQKB1R b Kkq - 1 8,-706
r1b1k1nr/p1p2Rpp/2n1p3/1pb5/8/NPP5/P2PPPP1/R1BQKBN1 b Qkq - 0 9,+1003
2b1k2r/2p1B2p/5pp1/8/8/N2P2PN/1P3P1P/5K2 b k - 0 21,-841
r4bnr/p1pk1p2/1pn3pp/4p3/2P3b1/1R2K3/R2P4/3Q1BN1 b - - 0 22,-1562
3q4/r5br/4k2n/pP6/P2pN3/1P6/5PPP/1R1K3R w - - 0 26,-1018
1n1qkb1r/rb4pp/ppp1pn2/8/P1P3P1/8/1P1P1PBP/RNB1K1NR w KQk - 0 10,-1139
3r4/7p/3p4/p5k1/2p3P1/2K4P/8/1R4N1 w - - 1 46,+112
r4k2/pb2p3/7b/2P2p2/1n1P1B2/N7/P4P2/R3NK2 b - - 0 18,-632
8/6k1/8/8/K1p1P1P1/8/5N2/7B w - - 1 49,+1125
R1b1k1nr/4pq1n/2P3p1/1N3p1p/8/1P6/2PPPPPP/2BQKBR1 w k - 2 14,#+1
2b1k1nr/6b1/Bp3pN1/3p3p/4P3/P1N1P1PP/1PP5/2K3R1 b - - 2 22,+488
6nr/2k4p/Bp2r2b/6p1/3K4/N1P5/P6P/2B4n w - - 0 32,-945
rnbqkbnr/pppppp2/6p1/7p/Q1P5/2N5/PP1PPPPP/R1B1KBNR b KQkq - 1 3,0
5b2/7r/2k5/p3r3/2P4p/2P5/7K/8 w - - 2 40,-2284
rn1qkbnr/ppp1pppp/3pb3/8/4P3/5P2/PPPP1KPP/RNBQ1BNR b kq - 2 3,-17
r1Nqkbnr/2pp4/5p2/3p2p1/P1B4p/5P2/1PPPN1PP/R1BQK2R b KQkq - 0 11,+287
3k1br1/8/5p2/1P4P1/4P1P1/8/3BN3/3K1BN1 w - - 0 33,+968
rnbqkb1r/pppppppp/7n/8/1P6/3P4/P1P1PPPP/RNBQKBNR b KQkq - 0 2,-25
rn1k1br1/2p1p1pp/1p6/p2n4/P7/3KP3/1PP1B2P/R1BQ3R b - - 1 19,+872
1n5r/3bkp2/8/7p/b1p4P/2P5/1B6/5K2 w - - 0 40,-1505
r1b1k1nr/p1ppqppp/8/bp2P3/2B5/4P3/PPPPK1PP/RNBQ2NR w kq - 0 8,+628
2r5/8/2k5/4K2p/8/6PP/8/8 w - - 5 46,-738
r1b4r/pp2kppp/n1pppn2/2P3BQ/4P3/7P/PPP2P1P/RN2KB1R b KQ - 4 10,+1130
N1b1qb2/pppp1kp1/4pn2/5p1r/3B4/7P/P2PP1B1/3Q1KR1 w - - 3 17,-316
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+36
r1bqkb1r/1p1p1p1p/5np1/p3p1N1/N1pPP3/1P3P2/P1n3PP/R1BQKB1R w KQkq - 0 11,+401
7B/2k5/K7/8/4b3/8/8/8 b - - 14 48,0
rnb1k1nr/ppqp1p1p/8/4p1p1/P7/8/2PPPPPP/bNBQKB1R w Kkq - 0 7,-914
2r5/8/8/2n3p1/2k3np/4p3/8/7K w - - 10 48,-7080
4R3/6k1/8/8/2P5/1PN1P3/P2Kb3/R7 b - - 1 27,+5713
rn2k1nr/p3pp1p/2p5/p2Q1Pp1/8/N1P1PP1P/6B1/R4KNR b kq - 0 17,+673
rnbqk1nr/pppp1p1p/4p3/6p1/2P5/P7/P2PPPPP/R1BQKBNR w KQkq - 0 4,+116
2b5/p2k1p2/2p5/8/4P3/8/5K2/7R w - - 3 43,+8
3k4/R6N/8/1QR3p1/8/1N6/1PP5/2B1K3 w - - 0 35,#+1
8/4N3/8/k6p/5P2/2p5/P7/4K3 b - - 1 44,+442
1k3n1r/1p5p/5p2/8/8/1P6/3K2PP/1N5R w - - 2 23,+18
rnbqkb2/pppppp1r/5np1/7p/P2P1B2/7P/1PPNPPPR/2RQKBN1 b q - 5 7,+106
r1bq1b1r/pppk3p/n2Np2n/8/2P4P/8/PP1PPPP1/R1BQKBNR b KQ - 0 7,+49
8/p1N5/8/1k1n1P2/1P1P4/4p3/4P3/6K1 b - - 3 45,-334
2b1kbnr/2pp1p2/1Pn1pq2/p5pp/4P3/P7/1P1P1PPP/RNBKQ1NR b k - 0 13,-98
r1R5/p2p3B/4k3/3qp3/8/3PK2p/8/7q w - - 1 40,-1845
6N1/p1R5/k7/8/8/P3n2p/8/4K3 w - - 0 35,+474
rq2kb1r/3pp2p/npp2p2/p2n1Q2/2P4P/NP1Bp3/P5P1/R2NK2R b KQk - 3 21,-1130
8/1QN5/3k3n/2p5/p1P1P1P1/P6B/4PP1P/1R3K1R b - - 1 26,#+7
2b2b1r/7p/2k1p3/1p2qpB1/P2P4/3P4/RP4P1/1N1K1BN1 w - - 3 24,+999
2r2k2/3b3r/6p1/p7/p7/2K5/8/8 w - - 1 46,-7261
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+45
1r2k2r/8/1ppp1BPp/4P3/p2P2P1/8/PPP1N3/RN1QR1K1 b - - 0 29,+2150
4r1r1/2p3k1/p1P1p3/7p/8/4KPPb/2N4P/8 b - - 0 35,-1463
1nq1k2r/1p2pp2/r1Rp3p/pN6/P7/3PnP2/1P3KBP/4Q1R1 b k - 0 20,-610
1nb1k1r1/r1qp1pP1/1p5R/4p3/pb4p1/6P1/PPPPP1B1/R1BQK1N1 b Q - 5 13,+79
rn1qkb1r/ppp1pppp/7n/3p4/8/3P1N1b/PPP1PPP1/RNBQKB1R w KQkq - 0 4,+703
8/6k1/r3pn2/4P1Kp/1Q2P2P/1P6/p7/8 b - - 3 46,-595
6n1/4k3/6rp/8/8/4PN2/2bK4/8 b - - 0 40,-943
Qnbq1knr/3ppp1p/p5p1/8/P1pb4/2P5/1P2PPPP/RNB1KBNR w KQ - 0 8,+1009
rnbq1bn1/ppp1pk1r/6pp/3p1p2/P4P2/2PPP3/1PQ3PP/RNB1KBNR w KQ - 0 7,+133
6k1/8/1K2b3/8/8/4p3/8/6N1 b - - 1 50,0
rnb1kbnr/pQ1ppp2/8/2p3p1/8/2P5/1q1PPPPP/RNB1KBNR w KQkq - 0 6,#+1
2br4/8/1p4pb/4p3/n2n4/5k2/8/6K1 w - - 2 44,#-4
8/8/3RP3/p1B5/4Pk2/2P5/4K2P/1R6 w - - 0 36,+6361
rnb1kbnr/ppp2pp1/3p4/1P2p2p/P3q3/8/2PPPPPP/R1BQKBNR w KQkq - 0 6,-668
1nb1k2r/5ppn/3rp3/1p6/4p1pP/P1P5/2B2Q1R/RN2K3 b Qk - 3 23,+643
2kr1nr1/p2b4/1p1b4/4p2R/1p2P1p1/3P4/PP3P2/1RBK1BN1 b - - 1 26,-202
rnbqkb2/p1ppppp1/1p3n1r/7p/1PPP3P/5PP1/P3P3/RNBQKBNR b KQq - 0 8,+64
3rkb1r/1pp1n2p/2np1p2/p1P4p/P4P1P/Nq1PB3/3K2B1/R6R b k - 1 23,-1697
2b5/8/2r5/p1n3p1/8/3k4/5K2/8 w - - 6 46,#-7
2r5/3p1kp1/8/1R2pp2/6pP/4P3/3nBP1R/4K1N1 b - - 2 28,+675
r1b4r/p2p1kpp/2n5/1p2Q3/8/4P3/PPP1K2n/RNBR4 w - - 0 17,+1300
1n2k1n1/3p3R/6p1/8/2P5/1r2b3/6K1/RN6 w - - 0 24,-375
3Q4/pb6/4k1P1/5p2/2p4p/P2KP3/7b/2B5 w - - 0 42,+909
8/8/1P2k1p1/3R4/5P2/2P5/3P2P1/5K2 b - - 0 37,+1344
4k3/8/5pN1/p6r/pP1Pp3/7P/7K/1N5R b - b3 0 36,+341
rnbqkbnr/p1pppppp/1p6/7P/8/8/PPPPPPP1/RNBQKBNR b KQkq - 0 2,+1
8/8/n1n1p3/5k1p/7P/2NP3b/PB1KB3/6N1 w - - 0 39,+1035
7r/2p1p1k1/1N1p1n2/3P3p/8/4KN1P/1BQ2PBP/8 b - - 0 22,+1336
8/1P6/8/3p3b/3p4/1K6/5k2/8 b - - 0 48,+534
r1b1kbnN/pp1qp2p/8/2p5/4p2P/3P2P1/PP1PKP2/RNBQ1B1R b q - 0 9,+278
2b1knr1/1p5p/1p4p1/p4p2/P6P/R2P4/1PPQP3/5KR1 b - - 3 22,+1101
2qk3r/p1p1b2p/8/p2N1n2/3P1PP1/8/4K2P/n1BQ1B2 w - - 1 24,-287
rn2k1r1/8/p2pb3/Pp4Pp/2P3p1/N7/3PPKB1/8 w q - 6 24,-965
1nbqk1r1/3pp3/pp6/7p/8/5KPP/P1PB4/bN3R2 b - - 1 19,-1826
4kbnr/6pp/3p1p2/8/1P1p4/7N/6PP/5K2 b k - 0 22,-1300
8/5p2/1Nn5/1P4k1/6p1/2p1P3/2P5/1K6 w - - 1 37,+443
rnbqkbnr/1pp1pppp/3p4/p7/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 0 3,+71
r1q1kb1r/R4ppp/3pp2n/1bp5/2P3P1/4PP2/1P1PK2P/1NBQ2NR w kq - 0 12,+593
rnbqkbnr/pp1ppp1p/2p3p1/8/8/1P2P2N/P1PP1PPP/RNBQKB1R b KQkq - 1 3,-89
rn1k2n1/8/ppp1p3/6PP/8/N7/b7/4K3 w - - 0 31,-1555
rnbqkb1r/pp1ppppp/2p2n2/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 2 3,-24
r1b1k1nr/2B2ppp/p3p3/1pbp4/3P1P2/7P/P2NP1P1/R2QKBNR w KQkq - 1 13,+1741
1rbq1kB1/p1ppp3/2n2b2/1p3P2/5Kp1/2P3Pr/PP1P1P2/RNB5 w - - 2 16,-1913
r1bqkb1r/pppppppp/2n4n/8/3N4/8/PPPPPPPP/RNBQKB1R w KQkq - 4 3,+37
rnb1kbnr/p1qppp1p/6p1/8/6PP/5P2/PPPPP3/R1BQKBNR b Qkq - 1 8,#-1
rnbqkbn1/1p1pp1pr/5p2/p1p5/8/2P4P/PP1PPPP1/RNB1KBNR w KQq - 0 5,-1123
8/B1k5/p7/8/5K2/7P/P6R/8 w - - 5 46,+1569
1n6/2k5/6pP/1p2p3/4P3/B3K3/8/6N1 b - - 0 36,+1050
1q3b1r/rp2k1p1/8/p1pp3b/1PP2P2/N5R1/P2PP3/R1B3K1 w - - 0 25,-1160
r1bqkbnr/pppppp1p/8/3P2B1/1n6/7P/PPP1PPP1/RN1QKBNR b KQkq - 0 4,+257
rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,+36
rn1k1b1r/ppp1ppp1/5n1p/8/P7/1P6/2bKP1PP/R1BQ1BNR w - - 0 10,+1000
1n1qk3/3nQp1r/1ppp3b/8/r3p1P1/4P3/RPPPK3/1NB1R3 b - - 3 21,-1088
4kb1r/1pqp4/5ppp/p2n4/4P1P1/7N/3P1R2/R1B1KB2 w - - 5 23,-436
8/8/8/kp6/2r4N/3K1P1P/1P5B/8 w - - 4 46,+658
1r2kbr1/4p1p1/8/p1p5/PP5p/3N2n1/3PNK1R/R1B5 w - - 2 31,+433
1n4nk/1p2b3/2p3p1/3qp3/7r/5K2/r7/8 w - - 16 39,#-1
rnb4r/pp1kb3/2pp1R2/8/4pP2/1P6/P1PPPP2/RNBQKBN1 b Q - 0 10,+952
rnbqkbn1/1pppp1p1/5p2/pNP5/8/1P3P1r/P2PP2P/R1BQKBNR b KQq - 1 7,+39
8/2pn4/5kp1/4p3/7p/5K2/7P/8 w - - 2 33,-1019
r1bqkbnr/p1pppppp/2n5/1p6/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq - 0 3,-774
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,-12
8/k4p2/2r5/3p1P1p/1p1P4/6p1/8/2NK4 w - - 4 50,-1216
rn6/p3ppb1/1pk5/2p4r/P1Pn1P1P/B3P3/R2P2PR/1N2K3 b - - 1 21,-480
1r6/3Qn1p1/7p/1Pp1p1k1/4P3/R6P/2PP1P1P/1N2K2R b - - 2 27,+2039
r1bq4/2pp1kr1/p7/7p/P2PQ3/7P/P3P3/R3KBNn w Q - 1 18,-426
rn3b1r/4p1k1/pn6/2p1P2p/7p/1P1K1P2/2R5/8 w - - 0 30,-2111
2r1k1nr/7p/8/2B5/2b3P1/8/4PP2/4K1N1 b - - 2 29,-796
2b3n1/1pk1r3/6p1/2p2p2/r7/b2pP1Pq/2P2PB1/RNNQK3 b Q - 3 22,-1075
r3kb1r/p1n1pppp/1qp2n2/3p4/3P2P1/5P2/1PP1PK1P/R1BQ1BNR w kq - 0 11,+61
1n3knr/rp5p/p1p5/3B1P1P/P2P2b1/4P3/2PK3R/RNQ3q1 w - - 0 27,+1101
r1bq2nr/ppk5/4p1p1/2pp2bP/1B3PP1/5K1R/2PPP1B1/R2Q4 b - - 0 19,-657
r1bqk1n1/p2p1pp1/n3p3/1p6/3KPPP1/b1P1N2r/PP1P4/R1B5 b q - 1 15,#-6
8/1r6/p1K5/p4k2/6p1/RP3P2/2P5/1N6 w - - 4 41,+1118
1nr5/3p1B2/1b1r4/2k5/Pp2n3/4p3/2P5/1N3K2 w - - 5 40,-1831
8/8/4P3/6N1/5P2/p2k4/7K/8 b - - 1 50,+748
r7/R4p2/7p/3kP3/3p4/6P1/8/2K2BN1 b - - 0 30,-169
8/8/4B3/8/7k/P1R5/2P5/4K3 b - - 4 42,+1660
rn1qkbnr/pp2pppp/3p4/8/P1p4P/3P4/1PPQ1PP1/RNB1KBNR b KQkq - 0 6,+645
rn1qk1nr/Qbpp2p1/5p2/2b1p2p/8/1PP5/P2PPPPP/RNBK1BNR b kq - 0 6,-1229
8/8/1b2k3/8/7R/8/4P2n/1K6 w - - 3 49,+496
r1bq3r/pRpk1ppp/n1n5/4p3/8/P5P1/2PBPb1P/3Q1KNR w - - 0 12,-530
1n6/1rprq3/1p1pk3/R7/4P2B/PP1P3P/R1P3KP/1N6 b - - 0 27,-1166
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+38
rnbqk1nr/1ppppp1p/8/p5p1/P1P2P2/1N6/1b2P1PP/R1BQKBNR b KQkq - 1 6,-576
r1b1kbnr/p1qppppQ/1p1p4/8/3n3P/6P1/PPP1PP2/RN2KBNR b KQkq - 0 8,-1852
2bqk3/2rp1p1p/p4p1b/Qpp4r/2n1K3/PP1P1P1P/4P1B1/R1B3R1 b - - 6 22,#-1
8/8/1n6/pk3p2/3P4/4b3/8/K7 w - - 6 49,-1487
4kb2/1p3p2/2p5/3p1b2/8/2r5/3B2pK/8 w - - 2 43,-1699
rn1k4/pp2bB1r/5n2/2p4p/2P5/7b/PPNPPK2/R1BQ2NR b - - 0 14,+699
7r/N1p5/pp1rpp2/5k1p/1b1P1P1P/P1p1PN1K/8/1RB4R b - - 1 29,+287
rnb1kbnr/1p1ppppp/1q6/p7/2p5/P1P1P3/1P1PBPPP/RNBQK1NR w KQkq - 0 5,+185
rnbk1b2/pp1pp1p1/5n2/2P2p1B/8/B1N1P1P1/P1PP1r2/R3K1N1 w - - 0 15,-301
8/8/2P5/3r1k2/8/8/8/7K w - - 1 47,-990
Rn5k/8/1b4p1/4P3/7P/2P5/2P1P3/B2K4 w - - 1 44,+5742
rn4n1/2k5/2B1p1p1/5QNp/Rpp2P2/7P/1B1PK1P1/4b2R w - - 3 26,#+5
r1bqkbnr/pppp2pp/n7/4pp2/P7/NP6/R1PPPPPP/2BQKBNR b Kkq - 3 4,-103
r1q2bn1/3np3/7r/p2k4/7P/P2K1P2/p3P1P1/R4B1R b - - 1 25,-3062
3k1b2/2n1p3/6Q1/6p1/8/1N2P3/PP4q1/R1B1K3 w - - 3 23,+653
4kb2/1Bp1p1p1/5p1n/4p3/4P3/R1P2P2/1P1N3r/2B1K2R b K - 0 16,+616
rnb1k1r1/1pppq2p/6p1/p3N3/3Ppp2/2P1BP2/Pb1KP1PP/R2Q1B1R w q - 1 13,-306
3k4/1pp1p1pr/3p3p/2n5/2b2PP1/2P1P3/rP3K1P/2B3NR w - - 0 19,-1061
3k4/8/p7/7p/P3P3/1P4P1/5K2/1R6 b - - 3 40,+1174
2r5/4k3/p1p4r/7P/P1K5/4p3/6b1/8 b - - 0 42,-6159
4k1r1/8/5p2/p1P4p/2rN4/3P3R/P2K4/8 b - - 1 35,-646
1R4nr/3ppk2/6p1/2pP4/2P3p1/7B/1P2PP1P/2bQK1NR b K - 0 15,+1350
r1bqkbnr/ppppp1pp/2n2p2/8/8/P1P5/1P1PPPPP/RNBQKBNR w KQkq - 0 3,+108
k7/5p2/1B6/8/8/3p4/8/4K3 b - - 13 46,-54
5b2/p2kp3/3p3n/1NP1Pp2/3Pr3/6P1/8/1RBK4 w - - 2 28,+358
7r/k3n3/8/5pP1/2RP2P1/5P2/3K3P/7R w - - 1 43,+1371
8/8/5B2/8/4NN2/2P2k2/2R5/4K3 b - - 11 50,+1413
rnb1kbnN/1pp3pp/3p4/p3p3/8/4P3/PPPP1PqP/RNBQKB1R w KQq - 0 6,+1598
1rb1kb1r/3p2pp/4p2n/p1p5/4P3/RP5N/5PP1/1NB1K2R w k - 1 18,-254
1n1k4/8/7B/5b1p/3N4/8/6pP/4K1R1 b - - 1 32,+640
rn2kbnr/pp1qppp1/8/2p4p/PPp5/2P1P2N/3P1PP1/RNBQK2R w KQkq - 0 8,-50
rn1q1rk1/p3ppbR/1p3n2/2pp4/2P1P2p/N4N2/PP1PBPP1/R1B1K3 w Q - 0 13,-758
Rn3k2/4p3/5pp1/2p5/2PP3P/6P1/5NK1/1NR5 w - - 0 30,+2497
r1b1kb2/p1p1pp2/7p/1N6/3P2Pp/8/1PPKP3/R4rNR b q - 1 16,-775
1rbqkb1r/1p2p1Qp/3p3n/p1p2p1P/2P5/2N5/PP2PPP1/3RKBNR b Kk - 1 9,-1258
2b1kB1r/3n1p2/2R3p1/3p3p/P7/6P1/P4P1P/4NKR1 w k - 0 21,#+1
1n2kb2/4p3/7B/5p2/1q6/2P2PP1/1P6/RN3KN1 b - - 0 26,-735
1nb5/rp1p4/1k2Np2/8/2p1P3/2P1K1b1/1P1P4/2BR4 b - - 0 24,-653
8/2p3p1/2k5/5p2/p1KPqP1P/P3PN2/3P4/2B5 w - - 0 30,-298
4k3/2p3r1/5p2/4p3/8/R1K2B2/2P5/8 w - - 7 36,+285
rnbqkbnr/p1ppp1pp/1p3p2/8/3P4/2N5/PPPKPPPP/R1BQ1BNR b kq - 1 3,-6
r1k5/6r1/p4q1p/P7/7P/1p6/7K/8 b - - 1 43,#-1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+38
2k5/8/p6p/2p4p/4P3/P2r1P2/2K3P1/3RR3 b - - 3 29,+1019
rnb2kn1/p4p1r/2p3pp/1p6/1P2Pp2/N4Q1R/P1PP2P1/R2K1BN1 w - - 0 14,+1159
2bq2nr/rpppk2p/2n5/8/2N5/P6N/2P2PPP/2R2K1R b - - 2 15,-1457
r3qb2/1p2nk2/2p2p2/p3p3/6bP/Q7/P1NPP2P/R3K1NR w K - 0 24,+53
r1b1kbr1/1p2p3/p4p2/2pPn3/4Q1PR/1PN2P2/4P3/R3K1N1 b Qq - 0 19,+762
1n3b2/3k3n/1qpp4/8/r2P4/6P1/PBPP1P2/RN2K3 w Q - 0 23,-1072
8/2kb2p1/1bp1p3/p4p2/4K3/7R/3PP3/4Q2B w - - 0 35,+1059
8/2R5/5k2/5P2/7P/3N4/5PKR/8 w - - 11 44,+7249
1r2kb1r/1pp3pp/8/p4P2/2Pn3B/7P/P7/RNB1K1Nb b - - 0 24,-1016
2kr1b1r/5ppp/3p3B/p7/2P1K3/P2p4/5PPP/RN4NR w - - 0 17,+950
2r1B3/2k5/2P2p1p/8/pp3KP1/8/8/R7 b - - 0 40,-603
r3qk2/1b1p4/pp2p3/1P2n3/8/3P2P1/P2BP3/Q3KB2 w - - 0 24,+87
2k5/p1p3B1/8/8/8/1B4KN/6PP/1N6 w - - 1 33,+1364
rnq2b1r/p1p1pk2/3p3n/8/1P3N1p/P1P5/2BPKPPP/R1B4R w - - 3 18,-772
4kbnr/1pp1ppp1/7p/r3p3/3q2b1/4QN2/P1PP1PPP/RNBK3R w k - 2 11,-233
1n1qkbnr/2pppppp/rp6/8/3P1P2/1PP3PN/3B2BP/1N1K3R b k - 2 13,-1421
